Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDL50,1215.0,Regular,42277867.0,Canned,1265046,OUT013,1987,High,Tier 3,Supermarket Type1,3735138
FDM39,642.0,Low Fat,89498926.0,Dairy,1781002,OUT010,1998,Small,Tier 3,Grocery Store,3582004
NCP05,196.0,Low Fat,53790578.42710473,Health and Hygiene,1533024,OUT045,2002,Small,Tier 2,Supermarket Type1,24288384
FDV49,10.0,Low Fat,25879577.0,Canned,2652226,OUT045,2002,Small,Tier 2,Supermarket Type1,58150972
FDL12,1585.0,Regular,121632721.0,Baking Goods,60622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576646
FDS02,638.0,Regular,255394896.0,Dairy,1968794,OUT019,1985,Small,Tier 1,Grocery Store,7803176
NCL17,739.0,Low Fat,67779712.0,Health and Hygiene,1438812,OUT046,1997,Small,Tier 1,Supermarket Type1,31345864
FDM40,10195.0,Low Fat,159803853.0,Frozen Foods,1415154,OUT013,1987,High,Tier 3,Supermarket Type1,8508924
FDR13,9895.0,Regular,28696932.0,Canned,1170492,OUT013,1987,High,Tier 3,Supermarket Type1,8109444
FDA43,10895.0,Low Fat,65041581.0,Fruits and Vegetables,1963794,OUT017,2007,Small,Tier 2,Supermarket Type1,31212704
NCP18,1215.0,Low Fat,28760013.0,Household,1514708,OUT017,2007,Small,Tier 2,Supermarket Type1,48150656
FDK21,7905.0,Low Fat,10053105.0,Snack Foods,2490408,OUT018,2009,Medium,Tier 3,Supermarket Type2,625852
NCX54,9195.0,Low Fat,48157338.0,Household,1061622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117244
DRK35,8365.0,Low Fat,71958197.0,Hard Drinks,380506,OUT049,1999,Medium,Tier 1,Supermarket Type1,7969626
FDY21,151.0,Low Fat,173481304.0,Snack Foods,194511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910275
FDI26,197.0,Low Fat,61082177.0,Canned,1800344,OUT019,1985,Small,Tier 1,Grocery Store,892172
FDM20,10.0,Low Fat,67329353.55021834,Fruits and Vegetables,2469144,OUT018,2009,Medium,Tier 3,Supermarket Type2,31851872
FDV27,797.0,Regular,40071131.0,Meat,873514,OUT045,2002,Small,Tier 2,Supermarket Type1,10626168
FDF09,206.0,Low Fat,12090074.0,Fruits and Vegetables,382848,OUT027,1985,Medium,Tier 3,Supermarket Type3,4847024
FDY40,751.5,Regular,15028599.0,Frozen Foods,510692,OUT019,1985,Small,Tier 1,Grocery Store,1478076
FDY45,742.0,Low Fat,26015519.0,Snack Foods,2558356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543356
FDC46,177.0,Low Fat,195068226.0,Snack Foods,1854266,OUT010,1998,Small,Tier 3,Grocery Store,1844266
FDH19,1935.0,Low Fat,33082215.0,Meat,1725738,OUT035,2004,Small,Tier 2,Supermarket Type1,48656664
FDZ03,1365.0,Regular,78946455.0,Dairy,186024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118544
DRH37,176.0,Low Fat,41700756.0,Soft Drinks,1648526,OUT045,2002,Small,Tier 2,Supermarket Type1,23023364
NCI17,8645.0,Low Fat,143422643.0,Health and Hygiene,95841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027361
FDJ58,156.0,Regular,105296072.0,Snack Foods,1701764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435528
FDL12,1585.0,Regular,121531501.0,Baking Goods,59222,OUT013,1987,High,Tier 3,Supermarket Type1,59922
FDH35,1825.0,Low Fat,68672955.93984963,Starchy Foods,1647526,OUT045,2002,Small,Tier 2,Supermarket Type1,46046728
FDG02,7855.0,Low Fat,11324862.0,Canned,1896188,OUT017,2007,Small,Tier 2,Supermarket Type1,22850256
NCZ18,7825.0,Low Fat,186357148.0,Household,2543698,OUT049,1999,Medium,Tier 1,Supermarket Type1,55807356
FDC29,839.0,Regular,24205661.0,Frozen Foods,1140176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290352
FDQ10,1285.0,Low Fat,33230816.0,Snack Foods,1723422,OUT049,1999,Medium,Tier 1,Supermarket Type1,12070954
FDN48,678.0,Low Fat,113720344.0,Baking Goods,899804,OUT019,1985,Small,Tier 1,Grocery Store,6431628
FDL04,19.0,Low Fat,112556507.0,Frozen Foods,1049622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587933
FDV25,5905.0,Low Fat,64037918.62012987,Canned,2225456,OUT045,2002,Small,Tier 2,Supermarket Type1,53050944
FDD58,776.0,Low Fat,59352241.0,Snack Foods,10187,OUT046,1997,Small,Tier 1,Supermarket Type1,169779
FDN04,118.0,Regular,14087057.0,Frozen Foods,1803344,OUT046,1997,Small,Tier 1,Supermarket Type1,14274752
FDV45,1675.0,Low Fat,45230944.0,Snack Foods,1879556,OUT018,2009,Medium,Tier 3,Supermarket Type2,469389
NCL18,588.0,Low Fat,293417759.0,Household,1946136,OUT019,1985,Small,Tier 1,Grocery Store,5832408
FDR12,678.0,Regular,31382044.0,Baking Goods,1713764,OUT027,1985,Medium,Tier 3,Supermarket Type3,30919752
FDG20,155.0,Regular,12639886.0,Fruits and Vegetables,1770028,OUT017,2007,Small,Tier 2,Supermarket Type1,24794392
FDZ55,6055.0,Low Fat,25403898.0,Fruits and Vegetables,160992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716464
FDQ49,1385.0,Regular,39057677.0,Breakfast,155963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285723
FDN33,6305.0,Regular,123115764.0,Snack Foods,956436,OUT046,1997,Small,Tier 1,Supermarket Type1,6618052
FDN27,2085.0,Low Fat,39624006.0,Meat,1172808,OUT049,1999,Medium,Tier 1,Supermarket Type1,15233504
FDW20,2075.0,Low Fat,40421193.0,Fruits and Vegetables,122173,OUT010,1998,Small,Tier 3,Grocery Store,369519
DRG27,8895.0,Low Fat,105274111.0,Dairy,399138,OUT049,1999,Medium,Tier 1,Supermarket Type1,6904346
DRI25,196.0,Low Fat,33970195.0,Soft Drinks,551614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381535
FDA44,197.0,Low Fat,53212652.0,Fruits and Vegetables,57893,OUT035,2004,Small,Tier 2,Supermarket Type1,622523
NCR17,98.0,Low Fat,24378706.0,Health and Hygiene,1145492,OUT035,2004,Small,Tier 2,Supermarket Type1,12743412
FDU04,751.5,Low Fat,9714595.0,Frozen Foods,1200414,OUT019,1985,Small,Tier 1,Grocery Store,4873656
FDF41,1215.0,Low Fat,131383762.0,Frozen Foods,246046,OUT049,1999,Medium,Tier 1,Supermarket Type1,123173
FDB56,875.0,Regular,7461309.0,Fruits and Vegetables,1874556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755112
NCP18,588.0,Low Fat,28459761.0,Household,1499708,OUT027,1985,Medium,Tier 3,Supermarket Type3,43636532
FDB56,875.0,Regular,74627201.0,Fruits and Vegetables,1878556,OUT046,1997,Small,Tier 1,Supermarket Type1,13142892
FDT28,133.0,Low Fat,63695084.0,Frozen Foods,1510708,OUT045,2002,Small,Tier 2,Supermarket Type1,18056496
FDD10,742.0,Regular,45797829.0,Snack Foods,1785344,OUT027,1985,Medium,Tier 3,Supermarket Type3,28549504
FDW57,831.0,Regular,115857223.0,Snack Foods,1791028,OUT049,1999,Medium,Tier 1,Supermarket Type1,38962616
DRB48,1675.0,Regular,24832806.0,Soft Drinks,387822,OUT013,1987,High,Tier 3,Supermarket Type1,6677974
FDP09,1975.0,Low Fat,34027909.0,Snack Foods,2120902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185853
FDH14,171.0,Regular,467696.0,Canned,1411838,OUT013,1987,High,Tier 3,Supermarket Type1,22477408
FDA47,105.0,Regular,116576702.0,Baking Goods,163121,OUT013,1987,High,Tier 3,Supermarket Type1,1794331
FDG12,6635.0,Regular,66836820.12106136,Baking Goods,1213098,OUT045,2002,Small,Tier 2,Supermarket Type1,25307058
DRE60,696.0,Low Fat,278974075.0,Soft Drinks,225372,OUT019,1985,Small,Tier 1,Grocery Store,679116
DRK49,1415.0,Low Fat,35913805.0,Soft Drinks,414138,OUT013,1987,High,Tier 3,Supermarket Type1,812276
FDD03,133.0,Low Fat,79806266.0,Dairy,23253,OUT046,1997,Small,Tier 1,Supermarket Type1,69909
FDS52,889.0,Low Fat,5505481.0,Frozen Foods,1024016,OUT017,2007,Small,Tier 2,Supermarket Type1,27324432
FDW39,617.0,Regular,64625342.0,Meat,176937,OUT019,1985,Small,Tier 1,Grocery Store,176437
FDX34,742.0,Low Fat,71636937.0,Snack Foods,1217098,OUT027,1985,Medium,Tier 3,Supermarket Type3,40973332
FDV11,91.0,Regular,61247609.04273504,Breads,1732054,OUT045,2002,Small,Tier 2,Supermarket Type1,31518972
FDD17,75.0,Low Fat,32677678.0,Frozen Foods,2390906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942265
FDZ16,1685.0,Regular,160760054.0,Frozen Foods,1924478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843695
FDZ46,7485.0,Low Fat,6911065.0,Snack Foods,1090228,OUT035,2004,Small,Tier 2,Supermarket Type1,25420244
DRA12,116.0,Low Fat,41177505.0,Soft Drinks,1403154,OUT017,2007,Small,Tier 2,Supermarket Type1,25526772
FDY58,1165.0,Low Fat,40081193.0,Snack Foods,2270694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141847
NCF19,13.0,Low Fat,35307322.0,Household,475034,OUT017,2007,Small,Tier 2,Supermarket Type1,6804476
DRJ13,1265.0,Low Fat,63017847.0,Soft Drinks,1590578,OUT045,2002,Small,Tier 2,Supermarket Type1,20859514
FDB14,2025.0,Regular,171938781.0,Canned,92512,OUT010,1998,Small,Tier 3,Grocery Store,186424
FDJ38,86.0,Regular,40197932.0,Canned,190153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036048
FDW11,126.0,Low Fat,49058014.0,Breads,627194,OUT017,2007,Small,Tier 2,Supermarket Type1,8668716
FDL40,177.0,Low Fat,1161096.0,Frozen Foods,95041,OUT035,2004,Small,Tier 2,Supermarket Type1,868869
DRI49,1415.0,Low Fat,183507295.0,Soft Drinks,824276,OUT046,1997,Small,Tier 1,Supermarket Type1,11371864
FDV38,1925.0,Low Fat,102349519.0,Dairy,527956,OUT017,2007,Small,Tier 2,Supermarket Type1,9281252
DRG23,888.0,Low Fat,86708987.0,Hard Drinks,1517682,OUT013,1987,High,Tier 3,Supermarket Type1,762341
NCP30,205.0,Low Fat,32835147.0,Household,402822,OUT045,2002,Small,Tier 2,Supermarket Type1,7070796
FDY25,197.0,Low Fat,33809913.0,Canned,1805976,OUT027,1985,Medium,Tier 3,Supermarket Type3,79682944
NCH54,135.0,Low Fat,7266912.0,Household,160292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438128
NCR53,196.0,Low Fat,144338493.0,Health and Hygiene,2244404,OUT027,1985,Medium,Tier 3,Supermarket Type3,69762524
FDS52,889.0,Low Fat,9163216.0,Frozen Foods,1017016,OUT010,1998,Small,Tier 3,Grocery Store,1012016
FDG02,7855.0,Low Fat,11307038.0,Canned,1885188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952094
NCO26,7235.0,Low Fat,76855628.0,Household,1160492,OUT046,1997,Small,Tier 1,Supermarket Type1,19694364
FDH35,177.0,Low Fat,59956876.0,Starchy Foods,1654526,OUT027,1985,Medium,Tier 3,Supermarket Type3,52624832
FDB51,692.0,Low Fat,38532062.0,Dairy,605852,OUT045,2002,Small,Tier 2,Supermarket Type1,13142892
FDX44,93.0,Low Fat,43209581.0,Fruits and Vegetables,908172,OUT017,2007,Small,Tier 2,Supermarket Type1,5353032
NCN07,185.0,Low Fat,56816465.0,Others,1321284,OUT010,1998,Small,Tier 3,Grocery Store,2636568
NCC31,802.0,Low Fat,19866705.0,Household,1545972,OUT035,2004,Small,Tier 2,Supermarket Type1,14021748
NCX54,9195.0,Low Fat,48331717.0,Household,1051622,OUT017,2007,Small,Tier 2,Supermarket Type1,16937952
NCO55,128.0,Low Fat,91221855.0,Others,1055938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143876
NCC30,166.0,Low Fat,27622076.0,Household,1776344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676516
FDI16,14.0,Regular,64515372.33913043,Frozen Foods,53064,OUT035,2004,Small,Tier 2,Supermarket Type1,905488
FDP16,186.0,Low Fat,39355947.0,Frozen Foods,2463802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370406
FDB11,16.0,Low Fat,60836524.0,Starchy Foods,2268404,OUT035,2004,Small,Tier 2,Supermarket Type1,63011312
NCB06,176.0,Low Fat,82316506.0,Health and Hygiene,160692,OUT035,2004,Small,Tier 2,Supermarket Type1,159792
FDA45,2125.0,Low Fat,155350299.0,Snack Foods,178237,OUT035,2004,Small,Tier 2,Supermarket Type1,529311
NCO26,7235.0,Low Fat,76841095.0,Household,1175492,OUT035,2004,Small,Tier 2,Supermarket Type1,19694364
DRJ25,146.0,Low Fat,151419185.0,Soft Drinks,503692,OUT017,2007,Small,Tier 2,Supermarket Type1,10346532
FDR28,1385.0,Regular,26001976.0,Frozen Foods,161521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794331
FDI04,1365.0,Regular,73209447.0,Frozen Foods,1976426,OUT018,2009,Medium,Tier 3,Supermarket Type2,27683964
DRK12,696.0,Low Fat,41683481.0,Soft Drinks,3129,OUT027,1985,Medium,Tier 3,Supermarket Type3,89883
FDX20,7365.0,Low Fat,42560252.0,Fruits and Vegetables,226172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169208
NCI18,1835.0,Low Fat,14081156.0,Household,2235746,OUT018,2009,Medium,Tier 3,Supermarket Type2,35899936
FDB36,5465.0,Regular,66836820.12106136,Baking Goods,1325626,OUT018,2009,Medium,Tier 3,Supermarket Type2,2623252
FDN13,186.0,Low Fat,152918384.0,Breakfast,998358,OUT017,2007,Small,Tier 2,Supermarket Type1,19101802
DRD24,1385.0,Low Fat,30969274.0,Soft Drinks,1409154,OUT017,2007,Small,Tier 2,Supermarket Type1,17017848
FDQ28,14.0,Regular,60376776.0,Frozen Foods,1545656,OUT013,1987,High,Tier 3,Supermarket Type1,24714496
FDM22,14.0,Regular,4192285.0,Snack Foods,54764,OUT013,1987,High,Tier 3,Supermarket Type1,13316
FDR07,206.0,Low Fat,77367431.0,Fruits and Vegetables,970094,OUT027,1985,Medium,Tier 3,Supermarket Type3,18089786
FDV25,5905.0,Low Fat,45838211.0,Canned,2225456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315684
DRF49,727.0,Low Fat,71077939.0,Soft Drinks,1142518,OUT046,1997,Small,Tier 1,Supermarket Type1,26185914
FDW51,6155.0,Regular,94659871.0,Meat,214556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769728
DRL01,195.0,Regular,77608838.0,Soft Drinks,2334958,OUT017,2007,Small,Tier 2,Supermarket Type1,53750034
FDP25,152.0,Low Fat,21327477.0,Canned,2168824,OUT017,2007,Small,Tier 2,Supermarket Type1,28389712
FDL50,1215.0,Regular,42485444.0,Canned,1250046,OUT018,2009,Medium,Tier 3,Supermarket Type2,17430644
NCB30,588.0,Low Fat,25578526.0,Household,1988084,OUT027,1985,Medium,Tier 3,Supermarket Type3,55554352
FDW11,126.0,Low Fat,489808.0,Breads,619194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619194
NCM43,145.0,Low Fat,19471688.0,Others,164821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120573
FDK44,166.0,Low Fat,122918852.0,Fruits and Vegetables,1730738,OUT017,2007,Small,Tier 2,Supermarket Type1,38230236
FDM15,118.0,Regular,57373797.0,Meat,1514366,OUT013,1987,High,Tier 3,Supermarket Type1,13602294
FDS31,131.0,Regular,44155597.0,Fruits and Vegetables,1788318,OUT013,1987,High,Tier 3,Supermarket Type1,39694996
FDI32,177.0,Low Fat,291865402.0,Fruits and Vegetables,1151834,OUT010,1998,Small,Tier 3,Grocery Store,3455502
FDR47,1785.0,Low Fat,61247609.04273504,Breads,1965794,OUT010,1998,Small,Tier 3,Grocery Store,5852382
FDB35,123.0,Regular,64750025.0,Starchy Foods,926804,OUT045,2002,Small,Tier 2,Supermarket Type1,10106844
NCU05,118.0,Low Fat,98312421.0,Health and Hygiene,814618,OUT010,1998,Small,Tier 3,Grocery Store,1611236
DRY23,696.0,Regular,191013663.0,Soft Drinks,421112,OUT019,1985,Small,Tier 1,Grocery Store,426112
FDO24,111.0,Low Fat,176573035.0,Baking Goods,1574604,OUT045,2002,Small,Tier 2,Supermarket Type1,30107476
FDQ28,751.5,Regular,60134441.0,Frozen Foods,1530656,OUT027,1985,Medium,Tier 3,Supermarket Type3,60241584
FDV39,113.0,Low Fat,7294652.0,Meat,1981426,OUT045,2002,Small,Tier 2,Supermarket Type1,988713
NCO17,196.0,Low Fat,128478462.0,Health and Hygiene,117944,OUT019,1985,Small,Tier 1,Grocery Store,239688
FDU50,575.0,Regular,75107656.0,Dairy,1128176,OUT013,1987,High,Tier 3,Supermarket Type1,13742112
FDT12,678.0,Regular,49381406.0,Baking Goods,2268062,OUT027,1985,Medium,Tier 3,Supermarket Type3,47398302
FDK58,1135.0,Regular,45165796.0,Snack Foods,1000016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012016
FDO08,206.0,Regular,9415375.0,Fruits and Vegetables,1657526,OUT019,1985,Small,Tier 1,Grocery Store,6578104
NCW29,14.0,Low Fat,28907832.0,Health and Hygiene,130431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778986
FDE04,1975.0,Regular,18059621.0,Frozen Foods,179766,OUT045,2002,Small,Tier 2,Supermarket Type1,2336958
NCB19,6525.0,Low Fat,90436094.0,Household,850882,OUT049,1999,Medium,Tier 1,Supermarket Type1,22330932
FDV15,103.0,Low Fat,146399712.0,Meat,1039648,OUT049,1999,Medium,Tier 1,Supermarket Type1,16618368
FDL58,578.0,Regular,74264356.0,Snack Foods,2647568,OUT049,1999,Medium,Tier 1,Supermarket Type1,47458224
FDA08,1185.0,Regular,50186726.0,Fruits and Vegetables,1641526,OUT045,2002,Small,Tier 2,Supermarket Type1,31245994
FDT43,1635.0,Low Fat,20631654.0,Fruits and Vegetables,501324,OUT018,2009,Medium,Tier 3,Supermarket Type2,4673916
NCX06,588.0,Low Fat,1561108.0,Household,1825976,OUT027,1985,Medium,Tier 3,Supermarket Type3,50707328
FDT20,105.0,Low Fat,41395445.0,Fruits and Vegetables,376164,OUT046,1997,Small,Tier 1,Supermarket Type1,5406296
FDB41,19.0,Regular,97313129.0,Frozen Foods,480718,OUT046,1997,Small,Tier 1,Supermarket Type1,9927078
NCN55,146.0,Low Fat,59582996.0,Others,2388538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008845
FDE40,638.0,Regular,98663652.0,Dairy,629194,OUT027,1985,Medium,Tier 3,Supermarket Type3,21052596
FDX49,197.0,Regular,101338651.0,Canned,23263,OUT027,1985,Medium,Tier 3,Supermarket Type3,535969
NCM53,1875.0,Low Fat,52146456.0,Health and Hygiene,104628,OUT045,2002,Small,Tier 2,Supermarket Type1,745696
FDE36,526.0,Regular,41764487.0,Baking Goods,1618868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275736
FDN57,1825.0,Low Fat,54344186.0,Snack Foods,1402154,OUT045,2002,Small,Tier 2,Supermarket Type1,17017848
FDI24,678.0,Low Fat,78362484.0,Baking Goods,177937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704606
FDI19,151.0,Low Fat,52339069.0,Meat,2427512,OUT046,1997,Small,Tier 1,Supermarket Type1,41199704
FDF24,155.0,Regular,42464962.0,Baking Goods,815934,OUT010,1998,Small,Tier 3,Grocery Store,3275736
FDG52,1365.0,Low Fat,65732883.0,Frozen Foods,457402,OUT049,1999,Medium,Tier 1,Supermarket Type1,7809834
DRF36,161.0,Low Fat,23625114.0,Soft Drinks,1893846,OUT045,2002,Small,Tier 2,Supermarket Type1,36306074
FDS45,742.0,Regular,51643608.0,Snack Foods,1073622,OUT019,1985,Small,Tier 1,Grocery Store,3175866
FDX40,1285.0,Low Fat,165694219.0,Frozen Foods,397164,OUT010,1998,Small,Tier 3,Grocery Store,2316984
DRK12,95.0,Low Fat,41878397.0,Soft Drinks,3299,OUT035,2004,Small,Tier 2,Supermarket Type1,13316
DRC27,138.0,Low Fat,58091482.0,Dairy,2451802,OUT035,2004,Small,Tier 2,Supermarket Type1,56506446
FDL58,578.0,Regular,65093851.71466431,Snack Foods,2637568,OUT017,2007,Small,Tier 2,Supermarket Type1,2636568
NCD30,197.0,Low Fat,26903714.0,Household,960726,OUT045,2002,Small,Tier 2,Supermarket Type1,12723438
NCZ54,1465.0,Low Fat,60721772.89639115,Household,1615552,OUT010,1998,Small,Tier 3,Grocery Store,3249104
FDE10,667.0,Regular,150554711.0,Snack Foods,1300626,OUT010,1998,Small,Tier 3,Grocery Store,1311626
FDR44,611.0,Regular,67329353.55021834,Fruits and Vegetables,1312968,OUT010,1998,Small,Tier 3,Grocery Store,2609936
FDP28,1365.0,Regular,134975628.0,Frozen Foods,2600936,OUT010,1998,Small,Tier 3,Grocery Store,2609936
FDX15,172.0,Low Fat,15616879.0,Meat,1606578,OUT013,1987,High,Tier 3,Supermarket Type1,36905294
FDA39,632.0,Low Fat,58970176.51111111,Meat,402822,OUT035,2004,Small,Tier 2,Supermarket Type1,11391838
FDY24,488.0,Regular,133700752.0,Baking Goods,529298,OUT049,1999,Medium,Tier 1,Supermarket Type1,19954026
FDC60,5425.0,Regular,115119905.0,Baking Goods,883514,OUT017,2007,Small,Tier 2,Supermarket Type1,14168224
FDH28,1585.0,Regular,110030997.0,Frozen Foods,372506,OUT046,1997,Small,Tier 1,Supermarket Type1,2656542
FDT25,75.0,Low Fat,51038045.0,Canned,1217072,OUT017,2007,Small,Tier 2,Supermarket Type1,35527088
DRJ13,1265.0,Low Fat,62837968.0,Soft Drinks,1615578,OUT013,1987,High,Tier 3,Supermarket Type1,2406867
NCO07,906.0,Low Fat,17116983.0,Others,211956,OUT019,1985,Small,Tier 1,Grocery Store,213056
